ISO3,Country,Human_Development_Groups,UNDP_Developing_Regions,HDI_Rank_2021,Human_Development_Index_1990,Human_Development_Index_1991,Human_Development_Index_1992,Human_Development_Index_1993,Human_Development_Index_1994,Human_Development_Index_1995,Human_Development_Index_1996,Human_Development_Index_1997,Human_Development_Index_1998,Human_Development_Index_1999,Human_Development_Index_2000,Human_Development_Index_2001,Human_Development_Index_2002,Human_Development_Index_2003,Human_Development_Index_2004,Human_Development_Index_2005,Human_Development_Index_2006,Human_Development_Index_2007,Human_Development_Index_2008,Human_Development_Index_2009,Human_Development_Index_2010,Human_Development_Index_2011,Human_Development_Index_2012,Human_Development_Index_2013,Human_Development_Index_2014,Human_Development_Index_2015,Human_Development_Index_2016,Human_Development_Index_2017,Human_Development_Index_2018,Human_Development_Index_2019,Human_Development_Index_2020,Human_Development_Index_2021,HDI_female_1990,HDI_female_1991,HDI_female_1992,HDI_female_1993,HDI_female_1994,HDI_female_1995,HDI_female_1996,HDI_female_1997,HDI_female_1998,HDI_female_1999,HDI_female_2000,HDI_female_2001,HDI_female_2002,HDI_female_2003,HDI_female_2004,HDI_female_2005,HDI_female_2006,HDI_female_2007,HDI_female_2008,HDI_female_2009,HDI_female_2010,HDI_female_2011,HDI_female_2012,HDI_female_2013,HDI_female_2014,HDI_female_2015,HDI_female_2016,HDI_female_2017,HDI_female_2018,HDI_female_2019,HDI_female_2020,HDI_female_2021,HDI_male_1990,HDI_male_1991,HDI_male_1992,HDI_male_1993,HDI_male_1994,HDI_male_1995,HDI_male_1996,HDI_male_1997,HDI_male_1998,HDI_male_1999,HDI_male_2000,HDI_male_2001,HDI_male_2002,HDI_male_2003,HDI_male_2004,HDI_male_2005,HDI_male_2006,HDI_male_2007,HDI_male_2008,HDI_male_2009,HDI_male_2010,HDI_male_2011,HDI_male_2012,HDI_male_2013,HDI_male_2014,HDI_male_2015,HDI_male_2016,HDI_male_2017,HDI_male_2018,HDI_male_2019,HDI_male_2020,HDI_male_2021
AFG,Afghanistan,Low,SA,180,0.273,0.279,0.287,0.297,0.292,0.31,0.319,0.323,0.324,0.332,0.335,0.337,0.362,0.376,0.392,0.4,0.409,0.424,0.43,0.44,0.448,0.456,0.466,0.474,0.479,0.478,0.481,0.482,0.483,0.488,0.483,0.478,0.196279945,0.196378106,0.199362258,0.195311403,0.182091907,0.199483054,0.204407892,0.204163534,0.203051618,0.205236817,0.203936948,0.201547442,0.23412425,0.248561349,0.24601711,0.25804377,0.270040327,0.290083384,0.296278756,0.308813946,0.322100371,0.33352807,0.344152186,0.354771795,0.34346564,0.364833242,0.37129479,0.380054352,0.383312051,0.388959737,0.3740333,0.36484023,0.329910184,0.334045576,0.34022826,0.356374407,0.347560398,0.367555056,0.376092144,0.380760776,0.380485829,0.39227905,0.396252763,0.400002035,0.426736706,0.441486253,0.471733817,0.476655583,0.482456142,0.494361998,0.498714113,0.507355452,0.513389368,0.519746648,0.530178097,0.538757274,0.545574279,0.5421892,0.544158827,0.540514172,0.540119661,0.546080741,0.542963575,0.535610873
AGO,Angola,Medium,SSA,148,,,,,,,,,,0.364,0.375,0.386,0.403,0.42,0.433,0.447,0.459,0.475,0.486,0.5,0.51,0.526,0.541,0.552,0.563,0.582,0.596,0.597,0.595,0.595,0.59,0.586,,,,,,,,,,0.331296397,0.33990875,0.353062392,0.367066356,0.381738395,0.394373029,0.408273294,0.420311348,0.436424808,0.447393983,0.461710926,0.473323161,0.474194963,0.494561462,0.511229906,0.528157718,0.549278676,0.565526867,0.566139188,0.565997442,0.564745073,0.560780317,0.556745058,,,,,,,,,,0.395491538,0.409036832,0.417888303,0.436845387,0.456631391,0.469401517,0.483667855,0.495129921,0.511712128,0.523569766,0.53736396,0.545688621,0.573985138,0.583449983,0.590606149,0.597755941,0.614967988,0.628557241,0.629229065,0.62689161,0.626408292,0.620493506,0.616557703
ALB,Albania,High,ECA,67,0.647,0.629,0.614,0.617,0.624,0.634,0.645,0.642,0.657,0.669,0.677,0.684,0.689,0.696,0.7,0.711,0.718,0.73,0.736,0.741,0.754,0.766,0.778,0.785,0.792,0.795,0.798,0.802,0.806,0.81,0.794,0.796,0.616863759,0.600126579,0.589594949,0.595004024,0.600297553,0.609514585,0.620082807,0.617585602,0.6296919,0.641318584,0.649250447,0.658017614,0.662956844,0.66966313,0.675956385,0.687210218,0.69555815,0.708111693,0.715264124,0.720720117,0.737543479,0.751776751,0.76686355,0.77112962,0.777742313,0.788570993,0.792468933,0.797815511,0.804057405,0.810746594,0.79657131,0.799221622,0.668709103,0.65136699,0.632360637,0.634138901,0.642194921,0.65358902,0.664328356,0.661965648,0.679809729,0.690626636,0.698549503,0.705296369,0.710047634,0.715372994,0.720479786,0.730725189,0.737402267,0.747882981,0.75343225,0.757662478,0.76825762,0.779565977,0.787407675,0.796231362,0.803064109,0.801190682,0.802194502,0.805385473,0.806772917,0.809463416,0.791941236,0.793604613
AND,Andorra,Very High,,40,,,,,,,,,,,0.818,0.825,0.832,0.841,0.833,0.833,0.848,0.847,0.85,0.848,0.848,0.849,0.869,0.864,0.871,0.867,0.871,0.868,0.872,0.873,0.848,0.858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,United Arab Emirates,Very High,AS,26,0.728,0.739,0.742,0.748,0.755,0.762,0.767,0.773,0.779,0.787,0.796,0.8,0.804,0.814,0.818,0.822,0.827,0.831,0.834,0.833,0.835,0.84,0.846,0.852,0.859,0.865,0.87,0.897,0.909,0.92,0.912,0.911,0.697888438,0.707015372,0.709349796,0.714591767,0.723295055,0.73179113,0.73627111,0.743683891,0.748234562,0.755347364,0.765155638,0.770675877,0.773477242,0.783198241,0.787539645,0.788241625,0.788752915,0.786592803,0.783673093,0.776213749,0.782611592,0.788355311,0.794920586,0.802858498,0.810474339,0.817717618,0.822699191,0.858680897,0.870227528,0.880978723,0.877874432,0.87713227,0.726520359,0.738164161,0.741195465,0.747195407,0.753912472,0.7607058,0.76708516,0.773299025,0.779251446,0.787516355,0.796563147,0.800097408,0.80372232,0.812596494,0.81607923,0.819535274,0.826622586,0.833465462,0.840309209,0.846817412,0.849896298,0.857468966,0.865186461,0.873143431,0.880434394,0.886984445,0.892931509,0.908466631,0.917537308,0.922682368,0.921901043,0.920631429
ARG,Argentina,Very High,LAC,47,0.723,0.73,0.735,0.739,0.744,0.745,0.751,0.756,0.762,0.773,0.779,0.784,0.785,0.793,0.798,0.802,0.814,0.817,0.825,0.827,0.834,0.841,0.843,0.845,0.846,0.848,0.847,0.851,0.85,0.852,0.84,0.842,0.712794358,0.719238496,0.72223409,0.725652109,0.72673716,0.728296383,0.734718333,0.742008559,0.747873427,0.766101569,0.77184055,0.777137175,0.776904866,0.784025246,0.789626974,0.794228401,0.807992133,0.81284778,0.819319117,0.821190641,0.828709336,0.833035901,0.837616242,0.838914911,0.838298397,0.842831978,0.838451952,0.840403555,0.843561297,0.844341605,0.831992596,0.833324995,0.725844512,0.734131824,0.740702347,0.746847751,0.756339292,0.756198604,0.761575849,0.765200708,0.77126364,0.773489493,0.780180752,0.785177147,0.785427268,0.794360363,0.799561989,0.802180642,0.812784507,0.815248386,0.823356886,0.82589025,0.832809274,0.840203081,0.839031918,0.841565097,0.842550658,0.842682753,0.841695176,0.84667155,0.843566289,0.844422433,0.832783696,0.835521148
ARM,Armenia,High,ECA,85,0.656,0.649,0.618,0.616,0.62,0.627,0.632,0.641,0.654,0.657,0.662,0.666,0.676,0.686,0.694,0.707,0.721,0.738,0.742,0.741,0.746,0.75,0.755,0.76,0.764,0.766,0.765,0.768,0.771,0.778,0.757,0.759,,,,,,0.615393933,0.625096996,0.631322637,0.640074101,0.643831618,0.636372702,0.635946347,0.640279193,0.654141961,0.671388938,0.68940124,0.705329584,0.722812283,0.725652758,0.726214149,0.732286457,0.738963269,0.743120437,0.749611655,0.754553747,0.757499871,0.755318056,0.760654637,0.76234964,0.771294977,0.752066781,0.756949514,,,,,,0.630912138,0.639207583,0.64821467,0.655636458,0.65939501,0.674292962,0.680344542,0.690854327,0.699775495,0.704409739,0.715223704,0.728592471,0.744899297,0.748378906,0.746873405,0.751916358,0.753674372,0.760462972,0.763535534,0.76572181,0.768072109,0.766127127,0.768509865,0.77218004,0.777041746,0.756001474,0.756110563
ATG,Antigua and Barbuda,High,LAC,71,,,,,,,,,,,,,,,,,,0.802,0.801,0.795,0.79,0.783,0.787,0.787,0.789,0.791,0.794,0.795,0.798,0.8,0.788,0.788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,Australia,Very High,,5,0.865,0.867,0.869,0.873,0.873,0.882,0.884,0.887,0.891,0.894,0.896,0.9,0.902,0.906,0.908,0.911,0.914,0.915,0.919,0.921,0.923,0.926,0.93,0.929,0.931,0.933,0.935,0.937,0.941,0.941,0.947,0.951,0.845606964,0.847199315,0.854097967,0.857947804,0.858714924,0.867563821,0.866208021,0.86887364,0.873414587,0.87612732,0.878357832,0.882620519,0.884064216,0.888600704,0.890973654,0.894113503,0.897234308,0.899141403,0.903496528,0.905779486,0.902950019,0.907054658,0.908605935,0.907494574,0.916619673,0.912894237,0.922274895,0.918884208,0.928982452,0.924557207,0.928481823,0.93167223,0.879499213,0.881549752,0.880855192,0.885384154,0.884928802,0.894112918,0.897640697,0.901223694,0.904415386,0.907179044,0.909304914,0.913308115,0.915438089,0.919111478,0.921831734,0.924356174,0.926685456,0.928357247,0.931745494,0.93342714,0.938381917,0.940586804,0.946121816,0.944315227,0.943098542,0.948054042,0.946490186,0.951697062,0.951575852,0.953887077,0.96085886,0.962956483
AUT,Austria,Very High,,25,0.825,0.829,0.835,0.84,0.845,0.849,0.853,0.857,0.863,0.866,0.871,0.876,0.879,0.881,0.886,0.889,0.893,0.896,0.898,0.898,0.902,0.905,0.906,0.905,0.909,0.91,0.915,0.916,0.917,0.919,0.913,0.916,0.796139864,0.80148781,0.808265681,0.813290609,0.82001837,0.825447149,0.829319268,0.835002674,0.841715192,0.844782268,0.849874628,0.854733015,0.858961526,0.860774749,0.867465922,0.87074779,0.874843425,0.877544257,0.878421621,0.87459536,0.884565737,0.881600272,0.882451544,0.885395737,0.895093018,0.890669438,0.89582405,0.89666135,0.898756304,0.901549302,0.903038551,0.905682295,0.847259115,0.850983048,0.856543807,0.860189367,0.863781383,0.866965904,0.870790089,0.874418865,0.87935983,0.88332034,0.887740017,0.891460428,0.894689109,0.897076891,0.901336913,0.904254716,0.908678985,0.91173967,0.914909106,0.914726114,0.917306231,0.923017814,0.924276759,0.919529371,0.921255572,0.92410505,0.928999395,0.930045519,0.930775932,0.93155859,0.92197063,0.923877356
AZE,Azerbaijan,High,ECA,91,,,,,,0.59,0.59,0.594,0.604,0.615,0.622,0.632,0.642,0.651,0.659,0.672,0.692,0.706,0.716,0.722,0.727,0.729,0.734,0.741,0.745,0.748,0.75,0.753,0.757,0.761,0.73,0.745,,,,,,0.582316861,0.581070801,0.585192532,0.595189939,0.605906899,0.613239914,0.622647479,0.631706133,0.640771251,0.648319459,0.661441939,0.681877151,0.682489749,0.69650743,0.706417393,0.709371233,0.708907934,0.710453861,0.717347304,0.726547889,0.729311375,0.728865717,0.730552848,0.735105398,0.74172468,0.719931999,0.733874991,,,,,,0.595777309,0.596285222,0.600838182,0.611428704,0.622539804,0.630384621,0.639868145,0.650261946,0.659692471,0.667893985,0.680666087,0.700251426,0.721035903,0.729455447,0.733988754,0.74022095,0.743178384,0.748720899,0.755570597,0.758403377,0.761307593,0.763216774,0.768145315,0.772111154,0.775850531,0.736845432,0.753249711
